/Users/tigran/workspace/dwg_parser/codes/parser.py:397: SyntaxWarning: invalid escape sequence '\P'
elem: name=S12_A01KSY3QXE layer=ADE_ET_SIBE_Wand text= ins=(782.7063337872978, 1178.085827175845, 0.0) matrix=(-1276.9536650180116, -1402.234164725072)
elem: name=Schaltkreis_A01KSY3RXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(786.1223337528918, 1177.368707183067, 0.0) matrix=(-1276.9536650180116, -1402.2341647250717)
  * MTEXT None layer=0 text='US03-1-02-03 ' ins=(786.1223337528918, 1178.8087071685634, 0.0) img_pos=(3856.395842750027, 536.519111360697)
elem: name=Schaltkreis_A01KSY3SXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(786.1223337528913, 1178.767267168982, 0.0) matrix=(-1276.9536650180112, -1402.2341647250714)
  * MTEXT None layer=0 text='S12 ' ins=(786.1223337528913, 1180.207267154478, 0.0) img_pos=(3856.395842750027, 528.2728699599465)
elem: name=S12_A01KSY3TXE layer=ADE_ET_SIBE_Wand text= ins=(1276.96992777864, 1133.685809748613, 0.0) matrix=(-1276.9536650180096, -1402.2341647250717)
elem: name=Schaltkreis_A01KSY3UXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(1278.785927760348, 1135.288689732468, 0.0) matrix=(-1276.9536650180107, -1402.2341647250728)
  * MTEXT None layer=0 text='S12 ' ins=(1278.785927760348, 1136.7286897179638, 0.0) img_pos=(6761.058282416676, 786.8667251104289)
elem: name=Schaltkreis_A01KSY3VXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(1278.785927760349, 1133.44580975103, 0.0) matrix=(-1276.9536650180096, -1402.2341647250723)
  * MTEXT None layer=0 text='US03-3-02-05 ' ins=(1278.785927760349, 1134.885809736526, 0.0) img_pos=(6761.0582824166795, 797.7327825928396)
elem: name=S12_A01KSY3WXE layer=ADE_ET_SIBE_Wand text= ins=(1139.086252079853, 456.0457970179814, 0.0) matrix=(-1276.9536650180105, -1402.2341647250735)
elem: name=Schaltkreis_A01KSY3XXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(1142.244959637942, 456.2619033023161, 0.0) matrix=(-1273.9712514581456, -1398.9780584713578)
  * MTEXT None layer=0 text='S12 ' ins=(1142.244959637942, 457.70190328781246, 0.0) img_pos=(5956.035491194345, 4789.950607834462)
elem: name=Schaltkreis_A01KSY3YXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(1142.477602642619, 454.1402433232531, 0.0) matrix=(-1269.0611645005804, -1399.4997184665363)
  * MTEXT None layer=0 text='US03-4-01-02 ' ins=(1142.477602642619, 455.58024330874923, 0.0) img_pos=(5957.407115576083, 4802.461473163403)
elem: name=S12_A01KSY3ZXE layer=ADE_ET_SIBE_Wand text= ins=(782.9663143147432, 456.0457970179814, 0.0) matrix=(-1276.9536650180116, -1402.2341647250735)
elem: name=Schaltkreis_A01KSY40XE layer=ADE_ET_SIBE_Wand-TXT text= ins=(786.7823142763082, 456.7272370111182, 0.0) matrix=(-1276.9536650180112, -1402.234164725074)
  * MTEXT None layer=0 text='S12 ' ins=(786.7823142763082, 458.1672369966143, 0.0) img_pos=(3860.2869779179923, 4785.595140616095)
elem: name=Schaltkreis_A01KSY41XE layer=ADE_ET_SIBE_Wand-TXT text= ins=(786.3837542803226, 455.3286770252043, 0.0) matrix=(-1276.9536650180107, -1402.2341647250735)
  * MTEXT None layer=0 text='US03-2-01-04 ' ins=(786.3837542803226, 456.76867701070046, 0.0) img_pos=(3857.937134608326, 4793.839574854253)
elem: name=S12_A01KSY42XE layer=ADE_ET_SIBE_Wand text= ins=(539.0863557793452, 456.0457970179814, 0.0) matrix=(-1276.9536650180119, -1402.2341647250735)
elem: name=Schaltkreis_A01KSY43XE layer=ADE_ET_SIBE_Wand-TXT text= ins=(534.6575028239533, 452.605797052629, 0.0) matrix=(-1276.9536650180123, -1402.234164725074)
  * MTEXT None layer=0 text='US02-2-02-01 ' ins=(534.6575028239533, 454.0457970381251, 0.0) img_pos=(2373.8011103979516, 4808.7529363548565)
elem: name=Schaltkreis_A01KSY44XE layer=ADE_ET_SIBE_Wand-TXT text= ins=(539.2626497775691, 454.205797036514, 0.0) matrix=(-1276.9536650180123, -1402.2341647250735)
  * MTEXT None layer=0 text='S12 ' ins=(539.2626497775691, 455.64579702201036, 0.0) img_pos=(2400.95228931196, 4799.339837740896)
elem: name=S12_A01KSY4HXE layer=ADE_ET_SIBE_Wand text= ins=(1303.366328550211, 918.9257728245707, 0.0) matrix=(-1276.9536650180105, -1402.2341647250723)
elem: name=Schaltkreis_A01KSY4IXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(1305.582328527892, 919.608652817692, 0.0) matrix=(-1276.9536650180094, -1402.2341647250728)
  * MTEXT None layer=0 text='US03-3-01-03 ' ins=(1305.582328527892, 921.0486528031879, 0.0) img_pos=(6919.045395274799, 2058.6888808458816)
elem: name=Schaltkreis_A01KSY4JXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(1305.982328523862, 921.0072128036059, 0.0) matrix=(-1276.9536650180105, -1402.2341647250723)
  * MTEXT None layer=0 text='S12 ' ins=(1305.982328523862, 922.4472127891022, 0.0) img_pos=(6921.4037285843715, 2050.444453137012)
